Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),17/90,4.420223728508499e-07,0.0012270541070339,0,0,5.035958904109589,73.6856739752205,NDUFA9;COA1;DMAC1;NDUFB5;COX18;NDUFC2;UQCC6;NDUFC1;TTC19;PET117;OXA1L;SAMM50;NDUFAF6;SDHAF3;CHCHD7;NDUFAB1;NDUFAF5
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),12/60,1.1784161095216235e-05,0.0113972146885625,0,0,5.382768361581921,61.08771509539736,NDUFA9;NDUFA7;ATP5PD;NDUFB5;ATP5PB;NDUFAB1;NDUFC2;ATP5MC3;NDUFC1;ATP5F1C;SDHB;ATP5MG
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),11/53,1.8778468638860505e-05,0.0113972146885625,0,0,5.634499623777276,61.31913041882528,NDUFA9;NDUFA7;ATP5PD;NDUFB5;ATP5PB;NDUFAB1;NDUFC2;NDUFC1;ATP5F1C;SDHB;ATP5MG
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),12/63,1.9857407391235936e-05,0.0113972146885625,0,0,5.065337321369226,54.84207009098832,NDUFA9;NDUFA7;ATP5PD;NDUFB5;ATP5PB;NDUFAB1;NDUFC2;NDUFC1;UQCRC2;ATP5F1C;SDHB;ATP5MG
GO_Biological_Process_2023,DNA Repair (GO:0006281),30/291,2.0528124439053534e-05,0.0113972146885625,0,0,2.4979782311842924,26.962464324716084,FEN1;CDCA5;CETN2;XPA;NUCKS1;MACROH2A1;ALKBH3;POLB;ALKBH2;BABAM2;HPF1;PMS2;ZRANB3;NPM1;SLC30A9;RRM1;GADD45A;RFC2;RPA1;GTF2H1;GTF2H5;TRAIP;DDB1;FANCD2;RPA3;UBE2V2;UBE2N;UBE2V1;RAD18;RHNO1
GO_Biological_Process_2023,Protein Deneddylation (GO:0000338),5/10,3.745172323012656e-05,0.0171477450335933,0,0,21.41031390134529,218.2237216715226,COPS4;COPS3;TOR1A;COPS7A;COPS8
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),29/288,4.323999107894575e-05,0.0171477450335933,0,0,2.430813301781044,24.426622456784703,FEN1;XPA;HMGB2;HMGB3;MACROH2A1;ALKBH3;POLB;HPF1;ORC6;ORC3;ZRANB3;NPM1;RRM1;GADD45A;RFC2;CNBP;RPA1;GTF2H1;UCHL5;DDB1;RPA3;POLE3;UBE2V2;UBE2N;MCM4;TERF2IP;MCM6;RAD18;RAN
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),10/53,0.00010552236465647025,0.0318435472832177,0,0,4.997247056972811,45.75773063714872,NDUFA9;OXA1L;COA1;DMAC1;NDUFAF6;NDUFB5;NDUFAB1;NDUFAF5;NDUFC2;NDUFC1
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),10/53,0.00010552236465647025,0.0318435472832177,0,0,4.997247056972811,45.75773063714872,NDUFA9;OXA1L;COA1;DMAC1;NDUFAF6;NDUFB5;NDUFAB1;NDUFAF5;NDUFC2;NDUFC1
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),14/98,0.00011778881844783251,0.0318435472832177,0,0,3.589845224613061,32.47595559398889,RARS2;MRPS28;NDUFA7;MRPS16;MRPS27;MRPS23;MRPS18B;MRPL47;MRPS30;MRPL13;MRPL30;MRPS9;MRPL1;DROSHA
GO_Biological_Process_2023,Malate Metabolic Process (GO:0006108),4/7,0.00012618120321159765,0.0318435472832177,0,0,28.51810377006345,256.0295914307869,FH;MDH1;MDH2;MDH1B
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),23/220,0.00014864296881334277,0.0343860734521533,0,0,2.525514293347582,22.259790320241844,PRKN;PSMD14;PRPF19;PSMD8;DDB1;PSMA5;PSMA6;ERLEC1;PSMA3;PSMB4;PSMD7;PSMA4;PSMB5;PSMC6;PSMA1;PSMB2;PSMA2;PSMB3;PSMD1;NHLRC1;FBXO7;UBE2K;FBXO9
GO_Biological_Process_2023,Protein Insertion Into Mitochondrial Membrane (GO:0051204),7/28,0.0001844721212048228,0.0393918929588144,0,0,7.146816479400749,61.44841535596195,TOMM70;TIMM10B;TIMM8A;MTCH2;SAMM50;COX18;TOMM20
