Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),169/2028,2.1856871141720713e-14,6.917699716354605e-11,0,0,2.0503991421422616,64.4937898819949,ZNF692;CCNK;TRRAP;ZMYND8;ATN1;SCX;EHMT1;ZBTB20;JADE3;JADE2;SOX21;ELK1;SOX2;ZNF609;SALL2;SALL3;WWC3;SUPT20H;ZNF202;LMO1;SMARCC1;KDM2A;SPACDR;SERPINF2;SOX13;RFX1;SOX12;EBF4;POU3F2;SOX10;POU3F3;HIC1;POU3F4;HCFC1;HIC2;ZSCAN20;ZSCAN22;ZNF438;ZNF316;PRKD1;BCORL1;MZF1;ZNF276;KMT2D;NOTCH1;AKNA;SRCAP;PRDM15;FOXO6;PIK3R2;FOXO4;GLIS1;PHF21A;CYP27B1;HMBOX1;MIER2;PRDM16;DVL1;DVL2;ABL1;SAFB2;CYTL1;ZBTB7B;NKX6-1;ZBTB7A;ZNF785;ZBED4;ZBTB7C;BCL9L;NKX2-2;HEXIM1;CREBBP;MGAM;ZNF142;BRPF1;ZFHX2;TGFB1;JUP;PHF12;PLK1;ANKRD23;NR2F1;NFATC3;ZBTB12;NFKB1;NFATC4;SMAD7;NFKBIA;SNAI2;TCF3;LHX4;MXD4;RARG;CALCOCO1;CHD4;TFCP2L1;HIF3A;GLI1;PKD1;PHF8;IKBKB;MED12;FLCN;SIX5;SUFU;GPER1;HEY2;CIC;TEAD2;ZHX2;RBM14;ZHX3;TGIF2;NCOA5;NCOA6;DNMT3A;VEZF1;OLIG1;PROX2;BAZ1B;ETV4;KLF15;SETSIP;NCOR2;KAT2A;TAL1;TLR9;PPARA;KANK2;HDAC4;HDAC5;ZBTB46;UHRF1;HDAC1;DOT1L;WIZ;PPM1D;ASCL1;ZNF69;NTN1;DLL1;RELA;HDAC6;MLLT6;ZBTB40;BICRA;REPIN1;RXRA;NSD1;ZNF746;E2F4;MSX1;SAMD1;ZNF740;BRD4;KLRG1;SPEN;WNT7A;TBX6;ZIC5;TBX3;HINFP;SKI;NFIC;ZNF853;ERCC6;AGRN;TAF4;TAF3
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),156/1922,2.3304246857720984e-12,3.6878970652343453e-09,0,0,1.9695566893556409,52.75451801231037,ZNF692;CCNK;TRRAP;SCX;EHMT1;JADE3;JADE2;SOX21;ELK1;SOX2;ZNF609;SALL2;SALL3;WWC3;SUPT20H;ZNF202;NFRKB;DAXX;SMARCC1;ZNF284;KDM2A;SPACDR;SOX13;RFX1;EBF4;POU3F2;SOX10;POU3F3;HIC1;POU3F4;HCFC1;HIC2;ZSCAN20;ZSCAN22;ZNF438;TIMELESS;ZNF316;MZF1;ZNF276;KMT2D;NOTCH1;SRCAP;KMT2B;PRDM15;FOXO6;FOXO4;GLIS1;CYP27B1;HMBOX1;ZNF703;PRDM16;DVL1;DVL2;ABL1;SAFB2;ZBTB7B;ZNF423;NKX6-1;ZBTB7A;ZBTB7C;NKX2-2;HEXIM1;CDK18;CREBBP;MGAM;ZNF142;BRPF1;ZFHX2;TGFB1;PHF12;NFATC3;NFKB1;NFATC4;SMAD7;ZNF37A;SNAI2;MAP3K10;TCF3;LHX4;MXD4;PHF19;CALCOCO1;KDM5C;TGFB1I1;CHD7;CHD4;TFCP2L1;HIF3A;GLI1;PHF8;IKBKB;MED12;ING5;SIX5;SUFU;H1-9P;HEY2;ZNF646;CIC;TEAD2;ZHX2;ZHX3;TGIF2;NCOA6;DNMT3A;AXIN1;VEZF1;PROX2;BAZ1B;CBFA2T2;ETV4;CBFA2T3;KLF15;REXO4;DNM2;NCOR2;KAT2A;TAL1;PPARA;HDAC4;HDAC5;RGS14;ZBTB46;HDAC1;SRRT;CXXC1;WIZ;MLLT1;ASCL1;NTN1;RELA;HDAC6;MLLT6;ZBTB40;BICRA;REPIN1;RXRA;NSD1;ZNF746;E2F4;MSX1;ZNF740;BRD4;KLRG1;SPEN;WNT7A;TBX6;ZIC5;WTIP;TBX3;HINFP;KANSL1;NFIC;ZNF853;ERCC6;TAF4
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),84/938,6.208377074722409e-09,6.5498378138321415e-06,0,0,2.112666254253016,39.92382810960784,CCNK;RARG;CALCOCO1;ZMYND8;SCX;GLI1;ELK1;PKD1;PHF8;IKBKB;MED12;SOX2;FLCN;ZNF609;SALL2;GPER1;HEY2;LMO1;RBM14;NCOA6;SERPINF2;VEZF1;OLIG1;SOX12;EBF4;BAZ1B;POU3F2;ETV4;KLF15;SETSIP;HCFC1;KAT2A;TAL1;TLR9;PRKD1;PPARA;MZF1;HDAC4;KMT2D;HDAC5;NOTCH1;AKNA;UHRF1;HDAC1;DOT1L;PRDM15;PIK3R2;FOXO4;ASCL1;DLL1;GLIS1;RELA;CYP27B1;RXRA;DVL1;DVL2;ABL1;ZNF746;CYTL1;E2F4;NKX6-1;ZBED4;BCL9L;BRD4;CREBBP;TGFB1;JUP;ANKRD23;NR2F1;NFATC3;WNT7A;NFKB1;TBX3;HINFP;SKI;NFKBIA;NFIC;TAF8;TCF3;ERCC6;LHX4;AGRN;TAF4;TAF3
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),102/1243,1.4051895762544214e-08,1.111856252211311e-05,0,0,1.9308300687412223,34.9103895096106,CCNK;TRRAP;SCX;ELK1;SOX2;ZNF609;SALL2;SUPT20H;NFRKB;LMO1;SMARCC1;SERPINF2;SOX12;EBF4;POU3F2;SOX10;POU3F3;HCFC1;PRKD1;MZF1;KMT2D;NOTCH1;AKNA;KMT2B;PRDM15;PIK3R2;FOXO4;GLIS1;CYP27B1;PRDM16;DVL1;DVL2;ABL1;CYTL1;ZNF423;NKX6-1;ZBED4;BCL9L;CREBBP;BRPF1;TGFB1;JUP;ANKRD23;NR2F1;NFATC3;NFKB1;NFKBIA;TCF3;LHX4;RARG;CALCOCO1;TGFB1I1;CHD4;GLI1;PKD1;PHF8;IKBKB;MED12;FLCN;GPER1;HEY2;TEAD2;RBM14;NCOA6;AXIN1;VEZF1;OLIG1;BAZ1B;ETV4;KLF15;SETSIP;DNM2;KAT2A;TAL1;TLR9;PPARA;HDAC4;HDAC5;UHRF1;HDAC1;DOT1L;CXXC1;MLLT1;ASCL1;DLL1;RELA;BICRA;RXRA;NSD1;ZNF746;E2F4;BRD4;WNT7A;TBX3;HINFP;SKI;KANSL1;NFIC;ERCC6;AGRN;TAF4;TAF3
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),86/1025,7.982490933498062e-08,5.052916760904273e-05,0,0,1.962620563599423,32.07595225728258,ZNF692;RARG;KDM5C;ZMYND8;ATN1;EHMT1;ZBTB20;CHD4;SOX2;FLCN;SUFU;HEY2;WWC3;CIC;ZNF202;DAXX;ZHX2;ZHX3;TGIF2;KDM2A;NCOA5;SPACDR;DNMT3A;SOX13;SOX12;CBFA2T2;SOX10;CBFA2T3;POU3F3;HIC1;HCFC1;NCOR2;HIC2;TIMELESS;PPARA;BCORL1;MZF1;KANK2;HDAC4;HDAC5;NOTCH1;ZBTB46;UHRF1;HDAC1;ASCL1;ZNF69;GLIS1;RELA;PHF21A;HDAC6;CYP27B1;HMBOX1;RXRA;MIER2;NSD1;ZNF703;PRDM16;ZNF746;FLNA;SAMD1;ZNF423;NKX6-1;ZBTB7A;ZNF785;HEXIM1;SPEN;CREBBP;TGFB1;PHF12;PLK1;NR2F1;NFATC3;ZBTB12;TBX6;NFKB1;TBX3;NFATC4;HINFP;SMAD7;SKI;NFIC;SNAI2;MAP3K10;TCF3;TAF3;MXD4
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),69/763,1.0350865907427027e-07,5.460081766167756e-05,0,0,2.116813207729888,34.045999272372164,RARG;ZNF692;ZMYND8;ATN1;EHMT1;ZBTB20;CHD4;SOX2;FLCN;SUFU;HEY2;WWC3;ZNF202;ZHX2;TGIF2;NCOA5;SPACDR;DNMT3A;SOX13;SOX12;SOX10;HIC1;HCFC1;NCOR2;HIC2;PPARA;BCORL1;MZF1;KANK2;HDAC4;HDAC5;NOTCH1;HDAC1;UHRF1;ZBTB46;ASCL1;ZNF69;GLIS1;PHF21A;HDAC6;RELA;CYP27B1;HMBOX1;RXRA;NSD1;MIER2;PRDM16;ZNF746;SAMD1;NKX6-1;ZBTB7A;ZNF785;HEXIM1;SPEN;CREBBP;PHF12;PLK1;NR2F1;ZBTB12;TBX6;NFKB1;TBX3;SMAD7;SKI;NFIC;SNAI2;TCF3;TAF3;MXD4
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),88/1127,1.2517428082997134e-06,0.0005659665697526562,0,0,1.8092405658010573,24.589341002987755,CALCOCO1;CSF1;TRRAP;CHD7;SCX;ZBTB20;JADE3;CHD4;JADE2;SOX21;SOX2;ING5;FLCN;SUFU;KHSRP;GPER1;H1-9P;HEY2;WWC3;ZNF646;SUPT20H;TEAD2;DAXX;ZNF284;TGIF2;SOX13;POU3F3;HIC1;REXO4;HCFC1;DNM2;HIC2;KAT2A;SMO;TRIM17;RNF207;TLR9;MZF1;NOTCH2;HDAC4;KMT2D;HDAC5;DNMT1;NOTCH1;SRCAP;HDAC1;SRRT;CXXC1;FOXO4;ASCL1;TOB2;DLL1;TTBK1;RELA;HDAC6;MLLT6;WNT6;CYP27B1;NWD1;NSD1;ZNF703;DVL1;DVL2;ABL1;ZBTB7B;ZNF423;SLC38A2;KLRG1;RBM38;CREBBP;BRPF1;TGFB1;CAVIN4;ZBTB12;WTIP;EZHIP;NFKB1;HINFP;FGF17;P2RX7;ZNF37A;KANSL1;CILP;GNB3;SNAI2;TCF3;FGFR4;PHF19
GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),45/452,1.4435151593413071e-06,0.0005710906849144047,0,0,2.326105443354598,31.2824646832798,KMT2D;NOTCH1;SRCAP;TRRAP;SRRT;CHD7;CXXC1;JADE3;FOXO4;JADE2;SOX21;RELA;MLLT6;SOX2;ING5;NSD1;H1-9P;SUFU;DVL1;ZNF703;DVL2;WWC3;ZNF646;ZNF423;TEAD2;KLRG1;DAXX;CREBBP;ZNF284;BRPF1;TGIF2;SOX13;ACTN4;WTIP;HIC1;REXO4;HCFC1;HINFP;DNM2;KAT2A;ZNF37A;SNAI2;TCF3;MZF1;PHF19
GO_Biological_Process_2023,Central Nervous System Development (GO:0007417),31/283,9.449060941110828e-06,0.0033229197642906,0,0,2.5689974102848687,29.722260088109326,AMIGO3;CHD7;MAST1;ATN1;CXCR4;SMG9;MSI1;PKD1;DLL1;PHF8;CIC;NHEJ1;GIT1;NKX2-2;SZT2;EMX2;ZFHX2;NCOA6;SETD1A;MINK1;SOX12;ZIC5;SOX10;POU3F3;PITPNM1;SMO;ADORA2A;DDIT4;PLXNB2;DSCAML1;MDGA1
GO_Biological_Process_2023,Neural Tube Closure (GO:0001843),9/32,1.060092285518157e-05,0.0033551920836649,0,0,8.074096754439681,92.48530241397744,VASP;SKI;TGFB1;DVL1;DVL2;COBL;PLXNB2;SCRIB;PHACTR4
