Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Proteasome,19/46,6.189490592456779e-09,1.9001736118842312e-06,0,0,7.05414364640884,133.32622862324249,PSMD14;POMP;PSMB9;PSMD8;PSMA5;SEM1;PSMA6;PSMB4;PSMA3;PSMB5;PSMD7;PSMA4;PSMC6;PSMB2;PSMA1;PSMB3;PSMA2;PSME3;PSMD1
KEGG_2021_Human,Pathways of neurodegeneration,77/475,5.014441849515608e-07,7.697168239006459e-05,0,0,1.962611287028751,28.469194860881224,RYR1;WNT2B;CSF1;WDR41;NDUFC2-KCTD14;PSMD8;PPP3CB;PSMD7;TUBA1A;FRAT2;KIF5A;CAPN2;PSMD1;RAC1;GABARAPL2;DAXX;GABARAPL1;GPX3;AXIN1;NDUFC2;NDUFC1;SDHB;PSMA5;ATXN2L;PSMA6;PLCB3;PSMA3;TUBB2B;COX7A2L;PSMA4;PSMA1;PSMA2;VDAC1;UQCRC2;RAF1;PRKN;DCTN6;BECN1;PSMD14;DCTN2;NDUFB5;WNT8A;PSEN2;ATP5MC3;PTGS2;KLC1;RELA;WNT6;MAPK9;PPP3R1;PSMB4;ATP5F1A;PSMB5;PSMB2;PSMB3;DVL1;DVL2;PLCG1;NDUFA9;NDUFA7;ATP5PD;BDNF;ATP5PB;FZD9;FZD8;WNT7A;UBE2G2;ATP5F1C;NFKB1;SEM1;PSMC6;VAPB;NDUFAB1;MAP3K10;CALM1;ACTR10;DNAL1
KEGG_2021_Human,Alzheimer disease,63/369,9.090272255359844e-07,9.216570093331108e-05,0,0,2.082722670041969,28.972527613253,WNT2B;CSF1;NDUFC2-KCTD14;PSMD8;IKBKB;PPP3CB;FRAT2;PSMD7;TUBA1A;AKT2;KIF5A;CAPN2;PSMD1;AXIN1;NDUFC2;NDUFC1;SDHB;PSMA5;PSMA6;COX7A2L;PLCB3;PSMA3;TUBB2B;PSMA4;PSMA1;PSMA2;VDAC1;UQCRC2;RAF1;RTN3;BECN1;PSMD14;NDUFB5;WNT8A;PSEN2;ATP5MC3;PIK3R2;PTGS2;KLC1;RELA;WNT6;MAPK9;PPP3R1;ATP5F1A;PSMB4;PSMB5;PSMB2;PSMB3;DVL1;DVL2;NDUFA9;NDUFA7;ATP5PD;ATP5PB;FZD9;FZD8;WNT7A;ATP5F1C;NFKB1;SEM1;PSMC6;NDUFAB1;CALM1
KEGG_2021_Human,Amyotrophic lateral sclerosis,62/364,1.200856038219037e-06,9.216570093331108e-05,0,0,2.076100848146857,28.30239475821788,WDR41;NDUFC2-KCTD14;ACTB;ACTG1;PSMD8;PPP3CB;PSMD7;TUBA1A;KIF5A;PSMD1;ANXA7;RAC1;GABARAPL2;DAXX;GABARAPL1;GPX3;NDUFC2;NDUFC1;NRG2;SDHB;PSMA5;ATXN2L;PSMA6;COX7A2L;PSMA3;TUBB2B;PSMA4;NUP210L;PSMA1;PSMA2;VDAC1;UQCRC2;PFN2;PRKN;DCTN6;BECN1;SEH1L;PSMD14;DCTN2;NDUFB5;ATP5MC3;KLC1;HDAC6;NXF1;PPP3R1;ATP5F1A;PSMB4;PSMB5;PSMB2;PSMB3;NDUFA9;NDUFA7;ATP5PD;ATP5PB;ALYREF;ATP5F1C;SEM1;PSMC6;VAPB;NDUFAB1;ACTR10;DNAL1
KEGG_2021_Human,Hippo signaling pathway,34/163,3.904243501605971e-06,0.0002163010339733617,0,0,2.6491675843752023,32.991266831940386,YWHAE;CRB2;CRB1;WNT2B;YWHAB;WNT8A;ACTB;NKD1;ACTG1;SOX2;WNT6;PAK1;CCND2;PPP2R1B;DVL1;DVL2;TEAD2;TGFB1;FZD9;AXIN1;FZD8;WNT7A;SCRIB;WTIP;YWHAZ;SMAD7;LATS2;DLG3;PPP2R2B;PARD3;SNAI2;DCHS1;LLGL1;LLGL2
KEGG_2021_Human,Huntington disease,53/306,4.227381771466353e-06,0.0002163010339733617,0,0,2.113498379802728,26.15227619457084,NDUFC2-KCTD14;PSMD8;PSMD7;TUBA1A;KIF5A;PSMD1;GPX3;NDUFC2;NDUFC1;SDHB;PSMA5;PSMA6;COX7A2L;PLCB3;PSMA3;TUBB2B;PSMA4;PSMA1;PSMA2;VDAC1;UQCRC2;DCTN6;BECN1;PSMD14;DCTN2;HDAC1;NDUFB5;ATP5MC3;KLC1;MAPK9;ATP5F1A;PSMB4;PSMB5;PSMB2;PSMB3;POLR2G;POLR2K;NDUFA9;CREBBP;NDUFA7;ATP5PD;KCNJ10;ATP5PB;BDNF;AP2B1;ATP5F1C;SEM1;PSMC6;NDUFAB1;MAP3K10;TAF4;ACTR10;DNAL1
KEGG_2021_Human,Parkinson disease,45/249,7.12457716630623e-06,0.00031246359857943035,0,0,2.2215856634133475,26.33014481623557,PRKN;PSMD14;NDUFB5;ATP5MC3;KLC1;NDUFC2-KCTD14;ADCY5;PSMD8;MAPK9;ATP5F1A;PSMB4;PSMD7;TUBA1A;PSMB5;PSMB2;PSMB3;KIF5A;PSMD1;PLCG1;NDUFA9;DAXX;NDUFA7;ATP5PD;ATP5PB;NDUFC2;NDUFC1;UBE2G2;ATP5F1C;SDHB;PSMA5;SEM1;PSMA6;COX7A2L;PSMA3;TUBB2B;PSMA4;PSMC6;GNAL;PSMA1;ADORA2A;PSMA2;NDUFAB1;VDAC1;UQCRC2;CALM1
KEGG_2021_Human,mTOR signaling pathway,31/154,2.1555743293152986e-05,0.0008272016488747458,0,0,2.5298570227081583,27.18298044283529,SEH1L;WNT2B;WNT8A;PIK3R2;IGF1R;IKBKB;WNT6;FLCN;AKT2;DVL1;DVL2;ATP6V1E1;ATP6V1D;EIF4E;EIF4B;ATP6V1G1;ATP6V1G2;WDR59;FZD9;FZD8;WNT7A;TSC1;RHOA;RRAGB;DDIT4;TBC1D7;ATP6V1B2;GRB2;RAF1;EIF4E2;LAMTOR5
KEGG_2021_Human,Spinocerebellar ataxia,29/143,3.3933902046874494e-05,0.0011575231031544,0,0,2.5519152046783624,26.262004311631564,RYR1;BECN1;PSMD14;GTF2B;PIK3R2;PSMD8;MAPK9;PSMB4;PSMD7;PSMB5;PSMB2;PSMB3;AKT2;PSMD1;CIC;TWNK;ATXN2L;SEM1;PSMA5;AFG3L2;PSMA6;PLCB3;PSMA3;PSMA4;PSMC6;PSMA1;PSMA2;VDAC1;ATXN10
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,18/70,4.16974289637148e-05,0.001280111069186,0,0,3.463258718090303,34.92721036325112,ATP6V1G1;ATP6V1G2;CXCL2;RELA;NFKB1;IKBKB;CDC42;NFKBIA;MAPK9;PAK1;CXCR1;CXCR2;ATP6V1B2;RAC1;PLCG1;ATP6V1E1;ATP6V1D;GIT1
